usrid,separation,probability,ra,dec,name,bb_kt,powlaw_gamma,var_prob_b,var_mean_b,var_sigma_b,var_max_b,var_min_b,hard_hm,hard_hs,hard_ms,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s
Cen X-3,0.03,0.83, 11 21 15.10,-60 37 25.79, 2CXO J112115.1-603725,6.531,-0.499,1.0,0.05254,0.02024,0.07852,0.03261,0.8657,0.9719,0.6646,1.331e-12,1.293e-12,1.369e-12,2.691e-14,2.447e-14,2.934e-14,2.526e-15,1.874e-15,3.177e-15,6.41e-13,6.135e-13,6.685e-13,8.887e-15,7.443e-15,1.033e-14,1.07e-15,6.466e-16,1.472e-15,8.0,1.0,1.0,1.0,0.002219,0.004882,0.002663,0.007102,10.0,1.0,1.0,1.0,0.01752,0.04702,0.02948,0.06997,7.0,0.998,0.999,0.994,0.0004375,0.0006228,0.0001853,0.00106
Cep X-4,0.04,0.76, 21 39 30.68,+56 59 10.39, 2CXO J213930.6+565910,1.142,1.395,0.059,0.04348,0.000173,0.04367,0.04324,0.4984,0.7683,0.4385,5.803e-13,5.235e-13,6.371e-13,6.913e-14,5.977e-14,7.849e-14,1.82e-14,1.285e-14,2.328e-14,5.723e-13,5.128e-13,6.317e-13,6.562e-14,5.56e-14,7.505e-14,1.806e-14,1.259e-14,2.353e-14,0.0,0.224,0.717,0.538,0.0005194,0.01314,0.01267,0.01377,0.0,0.093,0.952,0.948,0.0006667,0.027,0.02565,0.0282,1.0,0.565,0.921,0.942,0.0009347,0.003291,0.002332,0.005682
Cir X-1,0.01,0.96, 15 20 40.84,-57 10 00.26, 2CXO J152040.8-571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cir X-1,0.01,0.96, 15 20 40.84,-57 10 00.26, 2CXO J152040.8-571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cir X-1,0.01,0.96, 15 20 40.84,-57 10 00.26, 2CXO J152040.8-571000,2.458,0.239,0.911,0.1759,0.007176,0.1827,0.1616,0.8482,0.9881,0.8645,3.971e-12,3.934e-12,4.008e-12,8.575e-14,8.341e-14,8.81e-14,3.616e-15,3.165e-15,4.068e-15,3.422e-12,3.386e-12,3.459e-12,5.886e-14,5.685e-14,6.088e-14,2.326e-15,1.966e-15,2.686e-15,0.0,0.468,0.995,0.998,0.0005421,0.01925,0.01871,0.01979,0.0,0.218,0.997,1.0,0.001241,0.1554,0.1529,0.1565,0.0,0.254,0.686,0.561,3.815e-05,0.001093,0.001055,0.001131
Cir X-1,0.01,0.96, 15 20 40.84,-57 10 00.26, 2CXO J152040.8-571000,4.454,-0.32,0.008,0.1846,1.182e-06,0.1846,0.1846,0.8382,0.9794,0.792,4.66e-12,4.623e-12,4.698e-12,9.864e-14,9.635e-14,1.009e-13,7.493e-15,6.806e-15,8.179e-15,4.014e-12,3.977e-12,4.05e-12,7.091e-14,6.889e-14,7.293e-14,4.916e-15,4.394e-15,5.439e-15,1.0,0.597,0.998,0.991,0.0006896,0.02048,0.01979,0.02117,0.0,0.015,0.986,0.959,1.818e-05,0.1627,0.1627,0.1627,0.0,0.315,0.795,0.82,5.953e-05,0.001435,0.001376,0.001495
Cir X-1,0.01,0.96, 15 20 40.84,-57 10 00.26, 2CXO J152040.8-571000,2.391,0.279,0.015,0.1464,1.021e-05,0.1465,0.1464,0.817,0.9794,0.8107,3.295e-12,3.248e-12,3.341e-12,8.676e-14,8.343e-14,9.01e-14,5.239e-15,4.386e-15,6.092e-15,1.067e-12,1.038e-12,1.097e-12,7.705e-15,6.702e-15,8.708e-15,1.282e-16,0.0,2.725e-16,0.0,0.028,0.285,0.468,9.442e-06,0.01834,0.01833,0.01835,0.0,0.017,0.434,0.651,1.335e-05,0.1269,0.1269,0.1269,,,,,,,,
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,98.72,-1.59,1.0,1.516,0.3381,2.134,0.8795,0.9731,0.9931,0.5921,4.428e-11,4.4e-11,4.456e-11,1.407e-13,1.333e-13,1.482e-13,4.063e-14,3.492e-14,4.6e-14,1.693e-12,1.633e-12,1.754e-12,3.008e-16,0.0,9.299e-16,0.0,0.0,3.528e-16,4.0,0.666,0.962,0.993,0.00377,0.03166,0.02695,0.03695,10.0,1.0,1.0,1.0,0.3316,1.481,0.8528,2.057,0.0,0.094,0.627,0.193,0.0001118,0.003796,0.003712,0.004439
Cyg X-3,0.05,0.7, 20 32 25.77,+40 57 28.03, 2CXO J203225.7+405728,91.64,-1.466,1.0,4.721,0.1606,4.925,4.409,0.9594,,0.6696,1.831e-10,1.825e-10,1.836e-10,8.666e-13,8.494e-13,8.838e-13,2.335e-13,2.182e-13,2.489e-13,9.165e-11,9.122e-11,9.207e-11,3.457e-13,3.344e-13,3.569e-13,6.938e-14,6.05e-14,7.826e-14,5.0,0.746,0.996,0.998,0.007962,0.1256,0.1153,0.1362,9.0,1.0,1.0,1.0,0.1418,4.59,4.246,4.764,0.0,0.049,0.92,0.889,3.487e-05,0.01109,0.01106,0.01115
